from,to,type,action
/admin/moderation,/api/admin/moderation,prefix,alias-or-rename
/admin/moderation/${id},/api/admin/moderation/${id},prefix,alias-or-rename
# audit: two-step mapping to avoid double '/api' inside template literals
/admin/audit,/api/admin/audit,prefix,alias-or-rename
/admin/audit,/admin/audit/logs,exact,alias-or-rename
/admin/audit/logs,/api/admin/audit/logs,prefix,alias-or-rename
/admin/roles,/api/admin/roles,prefix,alias-or-rename
/admin/roles/${id},/api/admin/roles/${id},prefix,alias-or-rename

/decide/elite/ballots,/api/kollective/votes,exact,map
/decide/public/ballots,/api/kollective/votes,exact,map
/decide/results,/api/kollective/voteresults,exact,map
/decide/public/ballots/${id}/vote,/api/kollective/votes/${id}/vote,exact,map

/deliberate/elite/topics,/api/ethikos/topics,exact,map
/deliberate/topics/${id},/api/ethikos/topics/${id},exact,map
/deliberate/topics/${id}/preview,/api/ethikos/topics/${id},exact,map

# 'impact' requires inserting ${cid}; mark for review so the tool skips by default
/impact/feedback,/api/ethikos/consultations/${cid}/suggestions,exact,review
/impact/outcomes,/api/ethikos/consultations/${cid}/results,exact,review
/impact/tracker,/api/ethikos/consultations/${cid}/impact-track,exact,review
/impact/tracker/${id},/api/ethikos/consultations/${cid}/impact-track/${id},exact,review
/impact/tracker/:id,/api/ethikos/consultations/${cid}/impact-track/${id},exact,review

/learn/changelog,/api/konnected/resources?slug=changelog,exact,map
/learn/glossary,/api/konnected/resources?slug=glossary,exact,map
/learn/guides,/api/konnected/resources?category=guide,exact,map

/pulse/health,/reports/smart-vote,exact,alias-or-rename
/pulse/live,/reports/perf,exact,alias-or-rename
/pulse/overview,/reports/usage,exact,alias-or-rename
/pulse/trends,/reports/usage,exact,alias-or-rename

/search,/api/search,prefix,alias-or-rename
/q,/api/search,exact,alias-or-rename

/trust/profile,/api/users/me,exact,map
/trust/badges,/api/users/me?include=badges,exact,map
/trust/credentials,/api/konnected/certifications,exact,map
